,Unnamed: 0,question_and_options,answer,difficulty
12,12,"<div><p>Which one of the following statements best reflects the chief purpose of the 'Constitution' of a country?</p><p>(a) It determines the objective for the making of necessary laws.</p><p>(b) It enables the creation of political offices and a government.</p><p>(c) It defines and limits the powers of government.</p><p>(d) It secures social justice, social equality and social security.</p></div>",c,Medium
13,13,"<div><p>In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of the Fundamental Rights?</p><p>(a) 1st Amendment</p><p>(b) 42nd Amendment</p><p>(c) 44th Amendment</p><p>(d) 86thAmendment</p></div>",a,Difficult
14,14,<div><p>Consider the following organizations/bodies in India:</p><p>1. The National Commission for Backward Classes</p><p>2. The National Human Rights Commission</p><p>3. The National Law Commission</p><p>4. The National Consumer Disputes Redressal Commission</p><p>How many of the above are constitutional bodies?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) Only three</p><p>(d) All four</p></div>,a,Easy
15,15,"<div><p>Consider the following statements:</p><p>1. If the election of the President of India is declared void by the Supreme Court of India, all acts done by him/her in the performance of duties of his/her office of President before the date of decision become invalid.</p><p>2. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place.</p><p>3. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent.</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>",d,Difficult
16,16,"<div><p>With reference to Finance Bill and Money Bill in the Indian Parliament consider the following statements:&nbsp;</p><p>1. When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it can amend or reject the Bill.</p><p>2. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations.</p><p>3. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill.</p><p>How many of the above statements are correct?</p><p>(a) Only one&nbsp;</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>",b,Difficult
17,17,<div><p>Consider the following statements:</p><p>Once the Central Government notifies an area as a 'Community Reserve'</p><p>1. the Chief Wildlife Warden of the State becomes the governing authority of such forest</p><p>2. hunting is not allowed in such area</p><p>3. people of such area are allowed to collect non-timber forest produce</p><p>4. people of such area are allowed traditional agricultural practices</p><p>How many of the above statements are correct?&nbsp; &nbsp;&nbsp;</p><p>(a) Only one &nbsp;</p><p>(b) Only two &nbsp;</p><p>(c) Only three&nbsp;</p><p>(d) All four</p></div>,b,Medium
18,18,"<div><p>With reference to 'Scheduled Areas' in India, consider the following statements:</p><p>1. Within a State, the notification of an area as Scheduled Area takes place through an Order of the President.</p><p>2. The largest administrative unit forming the Scheduled Area is the District and the lowest is the cluster of villages in the Block.</p><p>3. The Chief Ministers of the concerned States are required to submit annual reports to the Union Home Ministry on the administration of Scheduled Areas in the States.</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three &nbsp; &nbsp;</p><p>(d) None</p></div>",b,Difficult
19,19,<div><p>Consider the following statements:</p><p>Statement-I:</p><p>The Supreme Court of India has held in some judgements that the reservation policies made under Article 16(4) of the Constitution of India would be limited by Article 335 for maintenance of efficiency of the administration.</p><p>Statement-II:</p><p>Article 335 of the Constitution of India defines the term 'efficiency of administration'.Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statements-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>,c,Medium
20,20,"<div><p>Consider the following statements:</p><p>Statement-I:</p><p>India, despite having uranium deposits, depends on coal for most of its electricity production.</p><p>Statement-II:</p><p>Uranium, enriched to the extent of at least 60%, is required for the production of electricity.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>",c,Medium
21,21,<div><p>Consider the following statements:</p><p>Statement-I:</p><p>Marsupials are not naturally found in India.</p><p>Statement-II:</p><p>Marsupials can thrive only in montane grasslands with no predators.</p><p>Which one of the following is correct in respect of the above statements?&nbsp;</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>,c,Medium
22,22,<div><p>Invasive species Specialist Group' (that develops Global Invasive Species Database) belongs to which one of the following organizations?&nbsp;</p><p>(a) The International Union for Conservation of Nature</p><p>(b) The United Nations Environment Programme</p><p>(c) The United Nations World Commission for Environment and Development.</p><p>(d) The World Wide Fund for Nature&nbsp;&nbsp;</p></div>,a,Medium
23,23,<div><p>Consider the following fauna:</p><p>1. Lion-tailed Macaque</p><p>2. Malabar Civet</p><p>3. Sambar Deer</p><p>How many of the above are generally nocturnal or most active after sunset?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,a,Difficult
24,24,<div><p>Which of the following organisms perform waggle dance for others of their kin to indicate the direction and the distance to a source of their food?&nbsp;</p><p>(a) Butterflies&nbsp;</p><p>(b) Dragonflies&nbsp;</p><p>(c) Honeybees&nbsp;</p><p>(d) Wasps&nbsp;</p></div>,c,Medium
25,25,<div><p>Consider the following statements:</p><p>1. Some mushrooms have medicinal properties.</p><p>2. Some mushrooms have psychoactive properties.</p><p>3. Some mushrooms have insecticidal properties.</p><p>4. Some mushrooms have bioluminescent properties.&nbsp;</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>,d,Medium
26,26,<div><p>Consider the following statements regarding the Indian squirrels:</p><p>1. They build nests by making burrows in the ground.</p><p>2. They store their food materials like nuts and seeds in the ground.</p><p>3. They are omnivorous.</p><p>How many of the above statements are correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,b,Difficult
27,27,<div><p>Consider the following statements:</p><p>1. Some microorganisms can grow in environments with temperature above the boiling point of water.</p><p>2. Some microorganisms can grow in environments with temperature below the freezing point of water.</p><p>3. Some microorganisms can grow in highly acidic environment with a pH below 3.</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,c,Medium
28,28,<div><p>Which one of the following makes a tool with a stick to scrap insects from a hole in a tree or a log of wood?</p><p>(a) Fishing cat</p><p>(b) Orangutan</p><p>(c) Otter</p><p>(d) Sloth bear</p></div>,b,Difficult
29,29,<div><p>Consider the following:</p><p>1. Aerosols</p><p>2. Foam agents</p><p>3. Fire retardants</p><p>4. Lubricants</p><p>the making of how many of the above are hydrofluorocarbons used?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>,c,Difficult
30,30,<div><p>Consider the following statements:</p><p>1. Jhelum River passes through Wular Lake.</p><p>2. Krishna River directly feeds Kolleru Lake</p><p>3. Meandering of Gandak River formed Kanwar Lake.</p><p>How many of the statements given above are correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,a,Difficult
31,31,"<div><p>Consider the following pairs:</p><table style=""border-collapse: collapse; width: 99.9853%;"" border=""1"" data-mce-selected=""1""><tbody><tr><td style=""width: 13.1062%;""><em><strong>Port</strong></em><br></div>",b,Medium
32,32,<div><p>Consider the following trees:</p><p>1. Jackfruit (Artocarpus heterophyllus)</p><p>2. Mahua (Madhuca indica)</p><p>3. Teak (Tectona grandis)&nbsp;</p><p>How many of the above are deciduous trees?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,b,Medium
33,33,<div><p>Consider the following statements:</p><p>1. India has more arable area than China.</p><p>2. The proportion of irrigated area is more in India as compared to China.</p><p>3. The average productivity per hectare in Indian agriculture is higher than that in China.</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,a,Difficult
34,34,"<div><p>Which one of the following is the best example of repeated falls in sea level, giving rise to present-day extensive marshland?</p><p>(a) Bhitarkanika Mangroves</p><p>(b) Marakkanam Salt Pans</p><p>(c) Naupada Swamp</p><p>(d) Rann of Kutch</p></div>",d,Medium
35,35,"<div><p>Ilmenite and rutile, abundantly available in certain coastal tracts of India, are rich sources of which one of the following?</p><p>(a) Aluminium</p><p>(b) Copper</p><p>(c) Iron</p><p>(d) Titanium</p></div>",d,Difficult
36,36,"<div><p>About three-fourths of world's cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by</p><p>(a) Argentina</p><p>(b) Botswana</p><p>(c) The Democratic Republic of the Congo</p><p>(d) Kazakhstan</p></div>",c,Medium
37,37,<div><p>Which one of the following is a part of the Congo Basin?</p><p>(a) Cameroon</p><p>(b) Nigeria</p><p>(c) South Sudan</p><p>(d) Uganda</p></div>,a,Difficult
38,38,<div><p>Consider the following statements:</p><p>1. Amarkantak Hills are at the confluence of Vindhya and Sahyadri Ranges.</p><p>2. Biligirirangan Hills constitute the easternmost part of Satpura Range.</p><p>3. Seshachalam Hills Constitute the southernmost part of Western Ghats.</p><p>How many of the statements given above the correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,d,Medium
39,39,"<div><p>With reference to India's projects on connectivity, consider the following statements:</p><p>1. East-West Corridor under Golden Quadrilateral Project connects Dibrugarh and Surat.</p><p>2. Trilateral Highway connects Moreh in Manipur and Chiang Mai in Thailand via Myanmar.</p><p>3. Bangladesh-China-India-Myanmar Economic Corridor connects Varanasi in Uttar Pradesh with Kunming in China.</p><p>How many of the above statements are correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>",d,Difficult
40,40,"<div><p>Consider the following statements:</p><p>Statement-I:</p><p>Interest income from the deposits in Infrastructure Investment Trusts (InvITs) distributed to their investors is exempted from tax, but the dividend is taxable.</p><p>Statement-II:</p><p>InvITs are recognized as borrowers under the 'Securitization and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002'.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>",d,Medium
41,41,"<div><p>Correct the following statements:</p><p>Statement-I:</p><p>In the post-pandemic recent past, many Central Banks worldwide had carried out interest rate hikes.</p><p>Statement-II:</p><p>Central Banks generally assume that they have the ability to counteract the rising consumer prices via monetary policy means.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>",a,Easy
42,42,<div><p>Consider the following statements:</p><p>Statement-I:</p><p>Carbon markets are likely to be one of the most widespread tools in the fight against climate change.</p><p>Statement-II:</p><p>Carbon markets transfer resources from the private sector to the State.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I&nbsp;</p><p>(c) Statement-I is correct but Statement-II is incorrect</p><p>(d) Statement-I is incorrect but Statement-II is correct.</p></div>,b,Difficult
43,43,<div><p>Which one of the following activities of the Reserve Bank of India is considered to be part of 'sterilization'?</p><p>(a) Conducting 'Open Market Operations'</p><p>(b) Oversight of settlement and payment systems</p><p>(c) Debt and cash management for the Central and State Governments&nbsp;</p><p>(d) Regulating the functions of Non-banking Financial Institutions</p></div>,a,Easy
44,44,<div><p>Consider the following markets:</p><p>1. Government Bond Market</p><p>2. Call Money Market</p><p>3. Treasury Bill Market</p><p>4. Stock Market</p><p>How many of the above are included in capital markets?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>,b,Easy
45,45,"<div><p>Which one of the following best describes the concept of 'Small Farmer Large Field'?</p><p>(a) Resettlement of a large number of people, uprooted from their them a large cultivable land which they cultivable land which they cultivate collectively and share the produce</p><p>(b) Many marginal farmers in an area organize themselves into groups and synchronize and harmonize selected agricultural operations</p><p>(c) Many marginal farmers in an area together make a contract with a corporate body and surrender their land to the corporate body for a fixed term for which the corporate body makes a payment of agreed amount to the farmers</p><p>(d) A company extends loans, technical knowledge and material inputs to a number of small farmers in an area so that they produce the agricultural commodity required by the company for its manufacturing process and commercial production</p></div>",b,Difficult
46,46,<div><p>Consider the following statements:</p><p>1. The Government of India provides Minimum Support Price for niger (Guizotia abyssinicia) seeds.</p><p>2. Niger is cultivated as a Kharif crop.</p><p>3. Some tribal people in India use niger seed oil for cooking.</p><p>How many of the above statements are correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>,c,Difficult
47,47,<div><p>Consider the investments in the following assets:</p><p>1. Brand recognition</p><p>2. Inventory</p><p>3. Intellectual property</p><p>4. Mailing list of clients</p><p>How many of the above are considered intangible investments?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>,c,Medium
48,48,"<div><p>Consider the following:</p><p>1. Demographic performance</p><p>2. Forest and ecology</p><p>3. Governance reforms</p><p>4. Stable government</p><p>5. Tax and fiscal efforts</p><p>For the horizontal tax devolution, the Fifteenth Finance Commission used how many of the above as criteria other than population area and income distance?</p><p>(a) Only two</p><p>(b) Only three</p><p>(c) Only four</p><p>(d) All five</p></div>",b,Easy
49,49,<div><p>Consider the following infrastructure sectors:</p><p>1. Affordable housing</p><p>2. Mass rapid transport</p><p>3. Health care</p><p>4. Renewable energy</p><p>On how many of the above does UNOPS Sustainable Investments in Infrastructure and Innovation (S3i) initiative focus for its investments?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>,c,Difficult
50,50,"<div><p>With reference to Home Guards, consider the following statements :&nbsp;</p><p>1. Home Guards are raised under the Home Guards act and Rules of the Central Government.</p><p>2. The role of the Home Guards is to serve as an auxiliary force to the police in maintenance of internal security.</p><p>3. To prevent infiltration on the international border /coastal areas, the Border Wing Home Guards Battalions have been raised in some States.</p><p>How Many of the above statements are correct?</p><p>(a) Only one&nbsp;</p><p>(b) Only two</p><p>(c) All three</p><p>(d) None</p></div>",b,Difficult
51,51,"<div><p>With reference to India, Consider the following pairs :&nbsp;</p><table style=""border-collapse: collapse; width: 100.04%;"" border=""1""><tbody><tr><td style=""width: 9.23361%;""><strong><em>Action The Act under</em></strong></div>",b,Difficult
52,52,"<div><p>Consider the following pairs :&nbsp;</p><table style=""border-collapse: collapse; width: 100.04%;"" border=""1"" data-mce-selected=""1""><tbody><tr><td style=""width: 9.23361%;""><strong><em>Regions</em></strong></div>",d,Medium
53,53,<div><p>Consider the following statements :&nbsp;</p><p>Statement-I :Israel has established diplomatic relations with some Arab States.</p><p>Statement-II :&nbsp;The 'Arab Peace Initiative' Mediated by Saudi Arabia was signed by Israel and Arab League.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>,c,Medium
54,54,<div><p>Consider the following pairs with regard to sports awards:&nbsp;</p><p>1. Major Dhyan Chand Khel Ratna Award : For the most Spectacular and outstanding performance by a sportsperson over period of last four years</p><p>2. Arujna Award : For the lifetime achievement by a sportsperson</p><p>3. Dronacharya Award : To honour eminent coaches who have successfully trained sportspersons or teams</p><p>4. Rashtriya Khel Protshan Puraskar : To recognize the contribution made by sportspersons even after their retirement&nbsp;</p><p>How many of the above pairs are correctly matched?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) Only three</p><p>(d) All four&nbsp;</p></div>,b,Medium
55,55,"<div><p>Consider the following statements in respect of the 44th Chess Olympiad, 2022 :&nbsp;</p><p>1. It was the first time that Chess Olympiad was held in India.</p><p>2. The official mascot was named 'Thambi'.</p><p>3. The trophy for the winning team in the open section is the Vera Menchik Cup.</p><p>4. The trophy for the winning team in the women's section is the Hamilton-Russell Cup.</p><p>How many of the statements given above are correct?</p><p>(a) Only one</p><p>(b) Only two</p><p>(c) Only three</p><p>(d) All four</p></div>",b,Medium
56,56,"<div><p>Consider the following pairs:</p><table style=""border-collapse: collapse; width: 100.04%;"" border=""1"" data-mce-selected=""1""><tbody><tr><td style=""width: 9.23361%;""><strong><em>&nbsp;Area of conflict mentioned in news</em></strong></div>",d,Difficult
57,57,"<div><p>In the recent years Chad, Guinea, Mali and Sudan caught the international attention for which one of the following reasons common to all of them?</p><p>(a) Discovery of rich deposits of rare earth elements</p><p>(b) Establishment of Chinese Military bases</p><p>(c) Southward expansion of Sahara Desert&nbsp;</p><p>(d) Successful coups</p></div>",d,Medium
58,58,<div><p>Consider the following heavy industries :</p><p>1. Fertilizer plants</p><p>2. Oil refineries</p><p>3. Steel plants</p><p>Green hydrogen is expected to play a significant role in decarbonizing how many of the above industries?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) All three</p><p>(d) None</p></div>,c,Medium
59,59,<div><p>Consider the following statements about G-20:</p><p>1. The G-20 group was originally established as a platform for the Finance Ministers and Central Bank Governors to discuss the international economic and financial issues.&nbsp;</p><p>2. Digital public infrastructure is one of India's G-20 priorities.&nbsp;</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only&nbsp;</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,c,Medium
60,60,"<div><p>With reference to the Indian History, Alexander Rea, A. H. Longhurst, Robert Sewell, James Burgess and Walter Elliot were associated with</p><p>(a) archaeological excavations&nbsp;</p><p>(b) establishment of English Press in Colonial India&nbsp;</p><p>(c) establishment of Churches in Princely States&nbsp;</p><p>(d) construction of railways in Colonial India&nbsp;</p></div>",a,Medium
61,61,"<div><p>Consider the following pairs :&nbsp;</p><table style=""border-collapse: collapse; width: 100.04%;"" border=""1""><tbody><tr><td style=""width: 9.23361%;""><strong><em>Site</em></strong></div>",b,Easy
62,62,<div><p>Consider the following statements :&nbsp;</p><p>Statement-I :&nbsp;7th August is declared as the National Handloom Day.</p><p>Statement-II :It was in 1905 that the Swadeshi Movement was launched on the same day.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>,a,Medium
63,63,"<div><p>Consider the following statements in respect of the National Flag of India according to the Flag Code of India, 2002 :</p><p>Statement-I :&nbsp;One of the standard sizes of the National Flag of India is 600 mm x 400 mm.</p><p>Statement-II :The ratio of the length to the height (width) of the Flag shall be 3:2.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>",d,Difficult
64,64,"<div><p>Consider the following statements in respect of the Constitution Day:</p><p>Statement-I</p><p>The Constitution Day is celebrated on 26th November every year to promote constitutional values among citizens</p><p>Statement-II</p><p>On 26th November, 1949, the Constituent Assembly of India set up a Drafting Committee under the Chairmanship of Dr. B. R. Ambedkar to prepare a Draft Constitution of India.&nbsp;</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>",c,Easy
65,65,<div><p>Consider the following Statements :&nbsp;</p><p>Statement-I</p><p>Switzerland is one of the leading exporters of gold in terms of value.&nbsp;</p><p>Statement-II</p><p>Switzerland has the second largest gold reserves in the world.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I&nbsp;</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>,c,Medium
66,66,"<div><p>Consider the following statements :&nbsp;</p><p>Statement-I</p><p>Recently, the United States of America (USA) and the European Union (EU) have launched the 'Trade and Technology Council'</p><p>Statement-II</p><p>The USA and the EU claim that through this they are trying to being technological progress and physical productivity under their control.&nbsp;</p><p>Which one of the following is correct in respect of the above statement?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>",c,Medium
67,67,<div><p>Consider the following statements :</p><p>Statement-I :</p><p>India accounts for 3.2% of global export of goods.</p><p>Statement-II :&nbsp;</p><p>Many local companies and some foreign companies operating in India have taken advantage of India's 'Production-linked Incentive' scheme.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>,d,Medium
68,68,<div><p>Consider the following statements :&nbsp;</p><p>The 'Stability and Growth Pact' of the European Union is a treaty that&nbsp;</p><p>1. limits the levels of the budgetary deficit of the countries of the European Union&nbsp;</p><p>2. makes the countries of the European Union to share their infrastructure facilities</p><p>3. enables the countries of the European Union to share their technologies&nbsp;</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) All three</p><p>(d) None</p></div>,a,Difficult
69,69,"<div><p>Consider the following statement :&nbsp;</p><p>1. Recently, all the countries of the United Nations have adopted the first-ever compact for international migration, the 'Global Compact for Safe, Orderly and Regular Migration (GCM)'.</p><p>2. The objectives and commitments stated in the GCM are binding on the UN member countries.</p><p>3. The GCM addresses internal migration or internally displaced people also in its objectives and commitments.</p><p>How many of the above statements are correct?&nbsp;</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) All three</p><p>(d) None</p></div>",d,Easy
70,70,<div><p>Consider the following countries:</p><p>1. Bulgaria&nbsp;</p><p>2. Czech Republic</p><p>3. Hungary</p><p>4. Latvia</p><p>5. Lithuania&nbsp;</p><p>6. Romania&nbsp;</p><p>How many of the above-mentioned countries share a land border with Ukraine?&nbsp;</p><p>(a) Only two</p><p>(b) Only three&nbsp;</p><p>(c) Only four&nbsp;</p><p>(d) Only five</p></div>,a,Medium
71,71,"<div><p>With reference to the Earth's atmosphere, which one of the following statements is correct?</p><p>(a) The total amount of insolation received at the equator is roughly about 10 times of that received at the poles.&nbsp;</p><p>(b) Infrared rays constitute roughly two-thirds of insolation.&nbsp;</p><p>(c) Infrared waves are largely absorbed by water vapour that is concentrated in the lower atmosphere.</p><p>(d) Infrared waves are a part of visible spectrum of electromagnetic waves of solar radiation.</p></div>",c,Easy
72,72,<div><p>Consider the following statements :&nbsp;</p><p>Statement-I :</p><p>The soil in tropical rain forests is rich in nutrients.</p><p>Statement-II :</p><p>The high temperature and moisture of tropical rain forests cause dead organic matter in the soil to decompose quickly.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct&nbsp;</p></div>,d,Easy
73,73,<div><p>Consider the following statements :&nbsp;</p><p>Statement-I</p><p>The temperature contrast between continents and oceans is greater during summer than in winter.</p><p>Statement-II</p><p>The specific heat of water is more than that of land surface.</p><p>Which one of the following is correct in respect of the above statements?</p><p>(a) Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I</p><p>(b) Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I</p><p>(c) Statement-I is correct but Statement-II is incorrect&nbsp;</p><p>(d) Statement-I is incorrect but Statement-II is correct</p></div>,a,Medium
74,74,"<div><p>Consider the following statements:</p><p>1. In a seismograph, P waves are recorded earlier than S waves.</p><p>2. In P waves, the individual particles vibrate to and fro in the direction of wave propagation whereas in S waves, the particles vibrate up and down at right angles to the direction of wave propagation.&nbsp;</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only&nbsp;</p><p>(c) Both 1 and 2&nbsp;</p><p>(d) Neither 1 nor 2</p></div>",c,Easy
75,75,"<div><p>With reference to coal-based thermal power plants in India, consider the following statements :&nbsp;</p><p>1. None of them uses seawater.</p><p>2. None of them is set up in water-stressed district.</p><p>3. None of them is privately owned.</p><p>How many of the above statements are correct?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) All three</p><p>(d) None</p></div>",d,Difficult
76,76,<div><p>Wolbachia method' is sometimes talked about with reference to which one of the following?</p><p>(a) Controlling the viral diseases spread by mosquitoes&nbsp;</p><p>(b) Converting crop residues into packing material&nbsp;</p><p>(c) Producing biodegradable plastics&nbsp;</p><p>(d) Producing biochar from thermochemical conversion of biomass&nbsp;</p></div>,a,Difficult
77,77,<div><p>Consider the following activities :</p><p>1. Spreading finely ground basalt rock on farmlands extensively&nbsp;</p><p>2. Increasing the alkalinity of oceans by adding lime&nbsp;</p><p>3. Capturing carbon dioxide released by various industries and pumping it into abandoned subterranean mines in the form of carbonated waters</p><p>How many of the above activities are often considered and discussed for carbon capture and sequestration?</p><p>(a) Only one</p><p>(b) Only two&nbsp;</p><p>(c) All three</p><p>(d) None</p></div>,c,Difficult
78,78,<div><p>Aerial metagenomics' best refers to which one of the following situations?</p><p>(a) Collecting DNA samples from air in a habitat at one go&nbsp;</p><p>(b) Understanding the genetic makeup of avian species of a habitat</p><p>(c) Using air-borne devices to collect blood samples from moving animals&nbsp;</p><p>(d) Sending drones to inaccessible areas to collect plant and animal samples from land surfaces and water bodies&nbsp;</p></div>,a,Medium
